district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"McCormick County School District, South Carolina",9531,7851,43633,38125,42335,4845,4271,23,23,0,33,257,79,111,8,22,35,57,30,65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17,0,0,45,03000
"Newberry County School District, South Carolina",38194,26035,44226,44184,55439,22883,11860,132,93,0,100,272,2854,397,350,390,324,171,307,245,132,24,0,0,0,0,0,25,4,0,0,0,0,23,40,140,0,0,9,36,4,60,34,149,22,45,03030
"Oconee County School District, South Carolina",77528,56126,49134,49443,56327,65463,5288,231,570,11,44,1686,4235,1100,605,1070,512,96,84,51,93,46,0,0,0,17,0,18,0,0,0,0,0,47,32,16,15,45,64,161,85,105,79,139,22,45,03060
"Orangeburg School District 3, South Carolina",19864,14509,35432,39891,37942,6518,12428,123,4,0,0,503,288,92,63,58,87,272,115,237,193,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,52,45,03150
"Orangeburg School District 4, South Carolina",18370,12498,43467,54219,48868,10285,7159,79,0,0,23,510,314,287,153,260,70,61,0,98,53,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,45,03180
"Orangeburg School District 5, South Carolina",49453,32193,36731,34873,45686,12381,34200,104,568,95,57,700,1348,118,55,120,73,713,909,756,931,0,0,0,0,0,0,7,16,0,0,0,0,0,10,0,7,0,0,11,0,83,25,58,0,45,03210
"Pickens County School District, South Carolina",124029,78125,49573,56686,62647,106292,8392,306,2424,26,178,1854,4557,1802,3121,1698,2831,170,421,157,296,0,0,0,27,23,104,37,54,0,0,0,0,17,51,16,20,43,132,21,46,104,150,126,91,45,03330
"Richland School District 1, South Carolina",200467,126214,44091,47326,53797,81463,100845,236,4275,120,488,4967,8073,821,3300,631,4223,1822,1461,1974,1606,0,0,0,0,76,360,113,113,0,0,0,13,38,159,127,28,138,65,96,235,94,283,172,202,45,03360
"Richland School District 2, South Carolina",143288,93948,65997,61028,80878,49892,73648,438,6314,240,827,3478,8451,877,350,658,454,1951,1034,1566,1034,39,0,11,0,103,216,159,21,0,0,16,0,187,34,112,52,190,0,100,77,290,5,155,58,45,03390
