ceeb,ncessch
050340,060495000480
050339,060516009310
050341,060003109475
050335,060504000486
050345,060516000491
050348,060939000944
050350,062964004602
050351,062964004603
050357,060567010625
050355,060273000199
050360,062649003994
050363,060570000518
050365,060582000524
050371,060588000528
050370,060588000529
050375,062160002573
050373,061187004688
050376,063763006377
050378,061476001809
050385,060645000563
050400,060645000564
050403,060645008120
050410,063498005920
050419,061347001533
050421,062100002519
050427,060690000633
050425,060690000634
050430,060699000643
050435,060702000647
050436,060702007657
050438,062927004516
050442,062927004518
053653,060006607920
053844,063714011366
050440,060004907414
050839,060004907413
053103,060723000676
050456,062610002661
050459,062610006496
050071,069109309063
050465,062271002890
053799,062271003257
053341,064251006958
050472,060750000709
050471,060750008311
050858,063438006516
050475,060753000718
050477,060753000717
050591,063462008283
050490,060756000727
050491,062250009901
053515,062271002899
050495,060006700731
050500,060780000742
050502,060780011357
050489,062759004146
050508,062955010279
052323,062955008931
050505,063852006470
050515,060813000782
050525,060813000785
050522,060162010232
050527,060162000010
050722,060162000014
050526,060162000029
050519,060162000028
050528,062271002916
050529,062271003376
050532,062271002802
050537,063117007824
050535,063117004819
050545,060837000815
050542,060837000818
050548,060837000827
050552,060846000833
050555,060846000835
050566,060846000838
050567,060005607612
050565,060846000832
050564,060846010360
050554,060846010607
050563,060846009757
050570,060855000852
050572,063864006475
050573,063864006477
050580,063864006479
050579,063864001223
050581,063864006484
050603,063864010384
050596,063864007709
050602,063864011264
050576,063864006490
050587,063462005798
050582,063462005817
050583,061632502074
050590,060876000887
050605,063311005123
050610,060897000899
050622,060903007959
050615,060903000904
050617,060903009760
050613,060903007084
050618,060903000367
050616,060903000910
050630,060912000933
050635,061187001325
050636,061187007548
050637,063075004781
050640,060939000946
050642,060939000956
050641,060939008126
050646,060957008128
050645,060957000966
050650,060962000975
050651,060962000976
050652,060962000978
050647,060962007149
050794,069107808011
050658,062637003940
050657,062637003942
050753,062637000183
050660,062637003960
050679,062637010196
050661,062637003963
050861,062637000185
050663,062637003986
050665,060969001035
050670,060981001044
050676,060985009532
050675,060985001049
050692,060985004959
050680,060987001071
050686,062724004122
050683,062724004110
050684,062724004114
050744,062724008243
050688,060270007642
050690,063372005195
050693,060819000801
050700,061005001093
050763,061005001090
050190,060360000273
050703,061005001102
050775,061005010236
050789,069106308694
050705,061077001193
050713,061077001200
050710,061899002302
050697,062271002983
050715,061026001116
050718,061443001695
053462,061443001697
053466,061443001699
050714,060263000172
050776,060263007580
050720,061893002293
050826,061893001427
050723,061893002298
050729,060744000689
050731,063513005946
050727,063513005952
050725,063513005957
050743,061062010344
050730,061062001176
050733,061062001179
050735,061086001206
050736,061086007693
050823,061086008132
052017,060003907540
050831,060003908524
051544,061104010438
050745,061104001218
050334,062955008267
050748,064128007894
050747,061207001343
050750,060006501242
050752,060006501243
050755,061128001251
050757,061128001253
050760,060658000590
050765,060003301258
050770,061146001264
050771,061146001278
050780,063678006227
050783,061152001284
050782,061152001286
050784,060001909273
050785,061170001294
050790,061173001296
050800,062649003995
053339,061623002017
050805,061623002018
050806,061623002020
050828,061623010630
053613,061623008594
050804,061623002028
050810,060801000771
050894,060801000772
050816,060801004486
050815,063255005022
050856,061207010478
050819,061207011234
050818,061207007279
050830,061212001363
050841,061086011206
050835,061212001364
050837,061212001365
053399,061212001367
050845,061221001388
050820,063807006441
050825,061233001398
050824,061233010593
050829,061233003662
050860,061263001426
050865,063438005577
050864,063438005578
050466,063438005579
050870,061284001448
050889,061291009539
050871,061291006493
050880,061291001465
050873,061291001466
050884,061291001467
050882,061291001468
050885,061293001470
050888,060816008807
050890,061302001474
050900,060005201477
051459,062232008486
