cbsa_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,cbsa_code
"Ada, OK Micro Area",50392,50392,28438,60010,57710,36500,10220
"Adrian, MI Micro Area",55450,55450,36393,61932,67367,42743,10300
"Aguadilla-Isabela, PR Metro Area",16470,16470,6702,18029,18390,14555,10380
"Akron, OH Metro Area",57285,57285,24742,63492,70804,43001,10420
"Alamogordo, NM Micro Area",41988,41988,34577,46367,47557,35633,10460
"Albany, GA Metro Area",44844,44844,23462,44414,52123,39024,10500
"Albany-Lebanon, OR Metro Area",55893,55893,36801,60971,66500,42543,10540
"Albany-Schenectady-Troy, NY Metro Area",71285,71285,35254,75506,87509,52591,10580
"Albemarle, NC Micro Area",52623,52623,29819,59673,63286,39494,10620
"Albert Lea, MN Micro Area",53631,53631,38646,56541,63005,40548,10660
"Albertville, AL Micro Area",45983,45983,28490,49856,52497,38963,10700
"Albuquerque, NM Metro Area",54072,54072,26864,54942,63939,45743,10740
"Alexander City, AL Micro Area",43941,43941,28750,46157,53178,34608,10760
"Alexandria, LA Metro Area",46367,46367,31128,51704,53472,35459,10780
"Alexandria, MN Micro Area",63819,63819,27172,80564,79742,45309,10820
"Alice, TX Micro Area",41461,41461,16135,50471,55733,30113,10860
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",67652,67652,37200,73660,83729,45801,10900
"Alma, MI Micro Area",47848,47848,34228,50292,60263,36188,10940
"Alpena, MI Micro Area",43363,43363,26607,48144,49022,36261,10980
"Altoona, PA Metro Area",49181,49181,22778,60741,58851,37526,11020
"Altus, OK Micro Area",49703,49703,35791,55526,59410,41676,11060
"Amarillo, TX Metro Area",55515,55515,30091,61046,66954,43073,11100
"Americus, GA Micro Area",38156,38156,22366,40887,49716,30726,11140
"Ames, IA Metro Area",58600,58600,22151,69051,80054,53415,11180
